datetime,auditorium,numperson
18-05-23 21:19:18,317,5
18-05-23 21:19:21,317,6
18-05-23 21:19:24,317,5
18-05-23 21:19:25,317,6
18-05-23 21:19:51,317,6
18-05-23 21:19:52,317,6
18-05-23 21:19:53,317,6
18-05-23 21:19:57,317,6
18-05-23 21:19:57,317,6
18-05-23 21:19:58,317,6
18-05-23 21:20:02,321,5
18-05-23 21:20:04,321,8
18-05-23 21:20:15,321,6
18-05-23 21:26:45,317,5
18-05-23 21:26:46,317,6
18-05-23 21:26:47,317,6
18-05-23 21:26:48,317,6
18-05-23 21:26:48,317,6
18-05-23 21:26:49,317,6
18-05-23 21:26:50,317,6
18-05-23 21:26:51,317,6
18-05-23 21:26:52,317,6
18-05-23 21:26:53,317,6
18-05-23 21:26:54,317,6
18-05-23 21:26:55,317,6
18-05-23 21:26:56,317,6
18-05-23 21:26:56,317,6
18-05-23 21:27:01,317,6
18-05-23 21:27:03,319,16
18-05-23 21:27:04,319,18
18-05-23 21:27:05,319,17
18-05-23 21:27:06,319,17
18-05-23 21:27:07,319,17
18-05-23 21:27:08,319,16
18-05-23 21:27:09,319,16
18-05-23 21:27:10,319,17
18-05-23 21:27:11,319,17
18-05-23 21:27:12,319,18
18-05-23 21:27:17,321,7
18-05-23 21:27:18,321,7
18-05-23 21:27:19,321,7
18-05-23 21:27:20,321,7
18-05-23 21:27:21,321,7
18-05-23 21:27:22,321,6
18-05-23 21:27:22,321,7
18-05-23 21:27:23,321,7
18-05-23 21:27:24,321,7
18-05-23 21:27:25,321,7
18-05-23 21:34:45,317,5
18-05-23 21:34:46,317,5
18-05-23 21:34:47,317,5
18-05-23 21:34:48,317,6
18-05-23 21:34:48,317,7
18-05-23 21:34:49,317,7
18-05-23 21:34:50,317,6
18-05-23 21:34:54,317,5
18-05-23 21:34:55,317,6
18-05-23 21:34:55,317,6
18-05-23 21:35:01,319,17
18-05-23 21:35:02,319,15
18-05-23 21:35:03,319,16
18-05-23 21:35:04,319,16
18-05-23 21:35:05,319,15
18-05-23 21:35:06,319,14
18-05-23 21:35:07,319,15
18-05-23 21:35:07,319,15
18-05-23 21:35:08,319,14
18-05-23 21:35:09,319,16
18-05-23 21:35:10,319,18
18-05-23 21:35:11,319,16
18-05-23 21:35:12,319,15
18-05-23 21:35:13,319,17
18-05-23 21:35:14,319,17
18-05-23 21:35:14,319,17
18-05-23 21:35:15,319,17
18-05-23 21:35:16,319,17
18-05-23 21:35:17,319,17
18-05-23 21:35:18,319,15
18-05-23 21:35:19,319,15
18-05-23 21:35:20,319,15
18-05-23 21:35:21,319,15
18-05-23 21:35:21,319,15
18-05-23 21:35:22,319,15
18-05-23 21:35:23,319,16
18-05-23 21:35:24,319,15
18-05-23 21:35:25,319,16
18-05-23 21:35:26,319,15
18-05-23 21:35:27,319,16
18-05-23 21:35:28,319,14
18-05-23 21:35:28,319,15
18-05-23 21:35:32,319,16
18-05-23 21:35:33,319,17
18-05-23 21:35:51,321,5
18-05-23 21:35:52,321,5
18-05-23 21:35:53,321,5
18-05-23 21:35:53,321,6
18-05-23 21:35:54,321,6
18-05-23 21:35:55,321,6
18-05-23 21:35:56,321,6
18-05-23 21:35:57,321,6
18-05-23 21:35:58,321,5
18-05-23 21:35:59,321,6
